0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:19 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 88006
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:20 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:27 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 88006
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:28 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 86049
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:28 +0700] "GET /SICT-portal/admin?action=teacherList HTTP/1.1" 200 20505
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:29 +0700] "GET /SICT-portal/admin?action=classroomList HTTP/1.1" 200 33310
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:29 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [12/May/2025:15:59:42 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [12/May/2025:16:00:16 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 96289
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:38 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:39 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 96292
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:40 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 94070
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:41 +0700] "GET /SICT-portal/admin?action=teacherList HTTP/1.1" 200 21365
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:42 +0700] "GET /SICT-portal/admin?action=classroomList HTTP/1.1" 200 35855
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:46 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:47 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 96292
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:48 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 94070
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:48 +0700] "GET /SICT-portal/admin?action=teacherList HTTP/1.1" 200 21365
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:49 +0700] "GET /SICT-portal/admin?action=classroomList HTTP/1.1" 200 35855
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:50 +0700] "GET /SICT-portal/admin?action=addClassroomForm HTTP/1.1" 200 38281
0:0:0:0:0:0:0:1 - - [12/May/2025:16:03:52 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [12/May/2025:16:05:13 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 96292
0:0:0:0:0:0:0:1 - - [12/May/2025:16:07:02 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [12/May/2025:16:07:10 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0031 HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [12/May/2025:16:07:14 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0001 HTTP/1.1" 200 4174
0:0:0:0:0:0:0:1 - - [12/May/2025:16:07:29 +0700] "GET /SICT-portal/admin?action=searchStudentListByClassroomID&classroomID=LTJW_01 HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [12/May/2025:16:07:33 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0001 HTTP/1.1" 200 4174
